Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,139,4,Tây - Bắc,Đông - Nam,3,2
Mailand Hanoi City,,,Đại lộ Thăng Long,An Khánh,Hoài Đức,150.7,5.3,,Đông,3,3
Osaka Complex,,,,,Hoàng Mai,70.9,2.25,,,2,2
BRG Diamond Residence,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,104.6,5.8,,,3,2
,,,Thái Hà,Trung Liệt,Đống Đa,52,0.85,Đông,Đông - Nam,2,1
KĐT Trung Văn - Vinaconex 3,,,Cương Kiên,Trung Văn,Nam Từ Liêm,72,2.6,,,2,
Chelsea Park,,,,,Cầu Giấy,100,4.4,,,3,2
The Manor,,,,,Nam Từ Liêm,100,6.2,,,2,2
Tháp doanh nhân Tower,,,Thanh Bình,Mỗ Lao,Hà Đông,70,1.2,Tây,Đông - Nam,2,2
The Zenpark,,,,,Gia Lâm,76,2.75,Đông - Bắc,Đông - Bắc,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,50,0.65,,,,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85,2.98,,,2,
D’. Le Roi Soleil ,,,Xuân Diệu,Quảng An,Tây Hồ,146,9.8,,Đông - Nam,3,
Grand Sunlake,135,,Trần Phú,Văn Quán,Hà Đông,95,3.4,,,3,
Nam Trung Yên,,,Mạc Thái Tổ,Trung Hòa,Cầu Giấy,56.3,1.95,Đông - Nam,Tây - Bắc,2,1
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,82,3.43,,,2,2
Hateco Laroma,,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,103,7,,,3,2
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,114,5.9,Đông - Bắc,Tây - Nam,3,
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,45,1.5,Đông - Bắc,Tây - Nam,2,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,1.8,Đông - Nam,Đông - Bắc,2,1
Sài Đồng,,,,Sài Đồng,Long Biên,69,2.07,,,3,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,93,2.98,,,3,
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,58,2.5,Tây - Bắc,Đông - Nam,2,2
Moonlight 1 - An Lạc Green Symphony,,,,,Hoài Đức,80,3.3,,,,
Geleximco Southern Star,,,Giải Phóng,Giáp Bát,Hoàng Mai,62,1.8,,,,2
KĐT Xa La,,,Xa La,Phúc La,Hà Đông,104,2.7,Tây - Nam,Đông - Nam,3,2
Eco Lake View,32,,Đại Từ,Đại Kim,Hoàng Mai,106,4.55,,,3,
KĐT Định Công,,,Trần Điền,Định Công,Hoàng Mai,66,2.1,,,2,1
The Terra An Hưng,,,,Dương Nội,Hà Đông,140.8,5.1,,Đông - Nam,4,
Newtatco Complex,,,Thiên Hiền,Mỹ Đình 2,Nam Từ Liêm,68,2.7,Đông - Nam,Tây - Bắc,2,2
,,,Võ Chí Công,Xuân La,Tây Hồ,52,0.75,,,2,1
,,,Hào Nam,Ô Chợ Dừa,Đống Đa,52,0.7,,,2,1
Mỹ Đình Plaza 2,,,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,70,3.2,,,2,2
Hateco Laroma,4A,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,80,5.6,Tây,Đông,2,
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76,3.6,,,2,2
Feliz Homes,,,Hoàng Mai,Hoàng Văn Thụ,Hoàng Mai,96,3.3,Bắc,Nam,3,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,5,Tây - Bắc,Đông - Nam,3,2
Vinhomes Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,86,5.5,,,2,
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,84,2.35,Tây - Bắc,Đông - Nam,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,28,1.7,Đông - Bắc,Tây - Nam,1,1
CT3 Tây Nam Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,57.6,2.15,,,2,2
KĐT Linh Đàm,,,,Đại Kim,Hoàng Mai,83,2.48,,,3,2
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,,Gia Lâm,47,1.65,,,1,
Golden Land,275,,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,130,4.75,,,3,2
,,,Tây Sơn,Ngã Tư Sở,Đống Đa,52,0.86,,,2,2
HPC Landmark 105,,,,La Khê,Hà Đông,121,3.7,,,3,2
Green Stars,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.6,,,2,
KĐTM Cầu Bươu,,,,Tân Triều,Thanh Trì,87.22,1.89,Đông - Nam,Tây - Bắc,2,2
Discovery Central,,,Trần Phú,Điện Biên,Ba Đình,106,11.5,Đông,Nam,3,2
Đại Thanh,,,,Tả Thanh Oai,Thanh Trì,60,1.3,Đông - Nam,,2,
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74.83,3.5,Đông - Bắc,Tây - Nam,2,
The Terra An Hưng,,,,Dương Nội,Hà Đông,97,3.55,Đông - Nam,Tây - Bắc,3,2
An Bình City,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,90,3.6,,,3,
Làng Việt Kiều Châu Âu Euroland,,,,,Hà Đông,77,2.65,Tây - Nam,Đông - Bắc,2,2
,,,Kim Giang,Đại Kim,Hoàng Mai,80,2.55,,,2,
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,130,10,,,3,
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,104,4.68,Đông - Nam,Đông,3,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,185.3,7.5,Tây - Bắc,Tây - Bắc,4,4
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,73.6,1.85,,,3,2
The Nine,9,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,91.5,5.68,Nam,Bắc,3,2
Căn hộ Thông tấn xã,,,Nguyễn Xiển,Đại Kim,Hoàng Mai,84.2,2.99,Tây - Bắc,Đông - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,43,1.2,Đông - Nam,Đông - Nam,1,
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,66.8,2.65,,,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,60,2.28,,,2,2
Dolphin Plaza,28,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198,7.1,,,4,3
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76,3.8,,,2,2
,,,Cửa Bắc,Trúc Bạch,Ba Đình,40,1.95,,,,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,54.4,2.15,Đông - Bắc,Tây - Nam,2,1
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,71,1.8,Đông,Nam,2,2
Vinhomes Nguyễn Chí Thanh,54A,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,118,8.05,Tây - Nam,Đông - Bắc,3,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,112,4,,,2,2
K35 Tân Mai,,,Tân Mai,Tương Mai,Hoàng Mai,85,4.05,Tây - Nam,Đông - Bắc,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,86.2,3.88,Tây - Nam,Đông - Bắc,3,2
KĐT Linh Đàm,,,,Đại Kim,Hoàng Mai,82.5,2.5,Bắc,Nam,3,2
Mỹ Đình I,,,Hàm Nghi,Mỹ Đình 1,Nam Từ Liêm,60,2.2,Đông - Nam,Đông - Nam,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,70,2,,,,
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,89.46,7,Tây - Bắc,Đông - Nam,2,2
KĐT Xa La,,,Phùng Hưng,Kiến Hưng,Hà Đông,70,1.59,Đông - Bắc,Tây - Nam,2,2
,,,Trần Hòa,Đại Kim,Hoàng Mai,70,2.25,Tây - Bắc,Đông - Nam,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,66.6,2.7,,,2,
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,70,2.25,,Đông - Nam,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,77,2.35,,,2,2
Eurowindow River Park,,,5,Đông Hội,Đông Anh,72.9,2.62,Đông - Bắc,Tây - Nam,2,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,75,2.6,,,2,2
The Terra An Hưng,,,,,Hà Đông,68,2.8,,,,
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,148.6,7.1,,,3,2
,,,Nguyễn Trãi,Nhân Chính,Thanh Xuân,33,0.76,,,1,
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,160,11,,,3,3
Thăng Long Number One,,,Khuất Duy Tiến,Trung Hòa,Cầu Giấy,117,4.45,Tây - Bắc,Đông - Nam,3,2
Kosmo Tây Hồ,,,Xuân La,Xuân Tảo,Bắc Từ Liêm,79,5,,,,
Mỹ Đình Pearl,,,,Phú Đô,Nam Từ Liêm,73,3.2,Tây - Nam,Đông - Bắc,2,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28,1.15,,Đông - Bắc,,
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,53,2.75,,,2,1
Helios Tower 75 Tam Trinh,,,Tam Trinh,Mai Động,Hoàng Mai,68,2.95,,,2,
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117,3.8,Tây - Bắc,Đông - Nam,2,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76,3.6,,,2,2
Rivera Park Hà Nội,69,,Vũ Trọng Phụng,Thanh Xuân Trung,Thanh Xuân,73,4,,,,
KĐT Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,72,1.72,,,2,2
Trung tâm thương mại Chợ Mơ,,,,,Hai Bà Trưng,98,3.4,Tây - Bắc,Đông - Nam,2,2
,,,Trung Kính,Yên Hòa,Cầu Giấy,35,0.6,,,1,1
,,,Kim Mã,Đội Cấn,Ba Đình,55,0.62,,,2,2
,,,Phạm Ngọc Thạch,Kim Liên,Đống Đa,58,0.635,,,2,2
Tràng An Complex,,,Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,88.1,4.2,,,3,2
,,,Nam Đồng,Nam Đồng,Đống Đa,56,0.65,Tây,Đông - Nam,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,30,1.1,Tây - Bắc,Đông - Nam,1,1
An Bình City,232,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,114,5.5,Nam,Nam,3,2
CT3 Tây Nam Linh Đàm,,,Linh Đường,Hoàng Liệt,Hoàng Mai,58,2.15,Tây - Nam,Đông - Bắc,2,2
The Matrix One,,,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,112.4,6.5,Đông - Bắc,Tây - Nam,3,2
Sun Grand City,69B,,Thụy Khuê,Thụy Khuê,Tây Hồ,98,7.2,,Tây - Nam,2,2
Vinhomes Metropolis - Liễu Giai,,,Liễu Giai,Ngọc Khánh,Ba Đình,80,7.5,,,3,
BRG Diamond Residence,25,,Lê Văn Lương,Nhân Chính,Thanh Xuân,144,7.92,Tây - Nam,Tây - Bắc,3,2
Mỹ Đình Pearl,,,Châu Văn Liêm,Phú Đô,Nam Từ Liêm,73,3.7,,Đông - Nam,2,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,117.06,3.92,,,,
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,71,2.95,Tây - Bắc,Đông - Nam,2,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,66,2.5,Tây - Bắc,Đông - Nam,2,2
Eco City Việt Hưng,,,,Giang Biên,Long Biên,70,2.05,,,2,2
Green Park Trần Thủ Độ,1,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,55,1.8,Đông - Bắc,Tây - Nam,2,2
Royal City,,,Nguyễn Trãi,Thượng Đình,Thanh Xuân,133.8,6.3,,,3,
,,,Khâm Thiên,Khâm Thiên,Đống Đa,42,0.62,,,2,2
,,,Trích Sài,Bưởi,Tây Hồ,55,0.6,,,2,2
,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,52,0.55,,,2,2
,,,Thái Hà,Trung Liệt,Đống Đa,56,0.65,,,2,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,64,2.6,Tây - Nam,Đông - Bắc,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,53,2.5,Nam,Nam,1,
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,96,8,,,,
Green Park Trần Thủ Độ,1,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,55,1.8,Tây - Bắc,Đông - Nam,2,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,90.77,4.27,,,,
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,80,3.5,,,2,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.55,,,2,1
MHD Trung Văn,29,,Tố Hữu,Trung Văn,Nam Từ Liêm,105.5,4.187,Đông - Nam,Tây - Bắc,3,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,77,3.25,Tây - Bắc,Đông - Nam,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,80,3.2,,,3,2
Việt Hưng,,,Nguyễn Cao Luyện,Giang Biên,Long Biên,78,1.4,,Tây - Nam,2,
,,,Trích Sài,Bưởi,Tây Hồ,55,0.62,,,2,2
170 Đê La Thành - GP Building,,,Đê La Thành,Ô Chợ Dừa,Đống Đa,117,4.9,Đông,Tây,2,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,82,2.7,Tây - Nam,Đông - Nam,2,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,118,3.54,Nam,,3,2
Green Park Trần Thủ Độ,1,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,55,1.8,Đông - Bắc,Tây - Nam,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,65.6,3.4,Đông - Bắc,Đông - Bắc,2,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,330,23,Tây - Bắc,Đông - Nam,4,3
Mulberry Lane,,,,Mỗ Lao,Hà Đông,100,3.3,Tây - Nam,Đông - Bắc,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,80,3.2,Đông - Bắc,Đông - Nam,2,2
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,71.4,3,,,,
South Building,,,,Hoàng Liệt,Hoàng Mai,95.1,3.4,Bắc,Nam,3,2
The Emerald,,,,Mỹ Đình 1,Nam Từ Liêm,76.4,3.3,,,2,
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,76.4,2.98,Đông - Bắc,Đông - Nam,3,2
Tứ Hiệp Plaza,,,,Tứ Hiệp,Thanh Trì,125,3.05,,,3,2
,,,Thái Hà,Thịnh Quang,Đống Đa,35,0.569,,,2,1
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,100,4.2,,,3,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,64,2.7,Đông - Bắc,Đông - Nam,2,2
Udic Westlake,,,Võ Chí Công,Phú Thượng,Tây Hồ,200,18.9,Tây - Bắc,Đông - Nam,4,4
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.6,Tây - Bắc,Đông - Nam,3,2
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.6,Nam,Tây,3,2
MHD Trung Văn,,,Tố Hữu,Trung Văn,Nam Từ Liêm,105.5,4.2,,Tây - Bắc,3,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,29,1.02,,Đông - Bắc,1,
An Bình City,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,74,3.27,,,2,2
Số 3,,292,Khâm Thiên,Thổ Quan,Đống Đa,77,18.2,,,22,
An Lạc Green Symphony,,,,Vân Canh,Hoài Đức,66.68,2.7,Tây - Nam,Đông - Bắc,2,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,35,1.29,Đông - Bắc,Đông - Nam,1,1
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,53,2.1,Đông - Bắc,Tây - Nam,2,1
MHD Trung Văn,29,,Tố Hữu,Trung Văn,Nam Từ Liêm,106,4,Tây - Bắc,Đông - Nam,3,2
Bamboo Airways Tower,,,Cầu Giấy,Dịch Vọng,Cầu Giấy,95.5,4.08,,,2,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,78,3.4,Tây - Nam,Đông - Bắc,2,2
Ecohome Phúc Lợi,,,,Phúc Lợi,Long Biên,68,1.75,,,2,2
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,94,3.8,,Tây - Nam,3,2
Vinhomes Symphony Riverside,,,Chu Huy Mân,Phúc Lợi,Long Biên,54,2.5,,,2,1
An Bình City,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,74,3,,,,
,,,Vũ Tông Phan,Khương Trung,Thanh Xuân,52,1.2,,,2,2
HPC Landmark 105,,,Tố Hữu,La Khê,Hà Đông,82,2.52,,,,
Cowaelmic 198 Nguyễn Tuân,,,Nguyễn Tuân,Nhân Chính,Thanh Xuân,53,1.9,Tây - Bắc,Đông - Nam,1,1
MHD Trung Văn,,,,,Nam Từ Liêm,65,1.6,Đông - Nam,Tây - Bắc,2,2
The Zurich - Vinhomes Ocean Park,,,,Đa Tốn,Gia Lâm,30.8,1.25,Đông - Nam,Đông - Nam,,1
The Pride,,,Tố Hữu,La Khê,Hà Đông,75.5,2.125,Tây - Bắc,Đông - Nam,2,2
,,,Kim Mã,Đội Cấn,Ba Đình,35,0.85,,,1,1
ĐTM Dịch Vọng,,,Thành Thái,Dịch Vọng,Cầu Giấy,120,5.2,,,3,2
137,,,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,90,3.05,Tây - Bắc,Đông - Nam,3,2
Mulberry Lane,,,,Mỗ Lao,Hà Đông,88,2.9,Tây - Nam,Đông - Bắc,2,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,87,2.95,Đông,Tây,3,2
Vinhomes Times City - Park Hill,,,,,Hai Bà Trưng,53.2,2.7,Nam,Bắc,1,1
Việt Đức Complex,187,,Nguyễn Tuân,Nhân Chính,Thanh Xuân,138,4.5,,,,
Thăng Long Capital,,,,An Khánh,Hoài Đức,93.6,1.82,Tây,Đông,3,2
Sunshine City,,,,Đông Ngạc,Bắc Từ Liêm,80.7,4.2,Bắc,Nam,2,2
Seasons Avenue,,,,Mỗ Lao,Hà Đông,72,2.95,Tây - Bắc,Đông - Bắc,2,2
Việt Đức Complex,,,Khuất Duy Tiến,Nhân Chính,Thanh Xuân,100,3.3,,,3,
Hinode City,,,Minh Khai,Minh Khai,Hai Bà Trưng,82,4,,,,
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,100,5.5,,,3,2
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,90,3.9,,Đông - Nam,3,2
